Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,40,40000000000,7470.15,153,0.07,66946278.96,100%
write,write,38,2432000,196.32,196.13,0.06,4088.43,100%
write,write,42,2688000000,1290.4,868.76,0.07,4518786.25,100%
write,write,8,8000000000,11577.62,785.62,0.01,13448768.6,100%
list,list,41,0,17.68,17.68,0.07,0,100%
delete,delete,47,0,102.72,102.72,0.08,0,100%
read,read,120,7680000,35.98,34.04,0.2,12910.82,100%
read,read,116,7424000000,566.54,55.41,0.2,12480457.26,100%
read,read,50,50000000000,7298.98,72.58,0.08,84054803.73,100%
write,write,28,1792000,82.5,82.43,0.05,3026.6,100%
write,write,31,1984000000,956.48,437.97,0.05,3350881.55,100%
write,write,10,10000000000,12220.2,631.8,0.02,16889523.93,100%
list,list,43,0,13.49,13.47,0.07,0,100%
delete,delete,39,0,59.36,59.36,0.07,0,100%
read,read,84,5376000,46.86,39.48,0.14,9079.81,100%
read,read,96,6144000000,658.57,80.5,0.16,10376923.51,100%
read,read,49,49000000000,7506.78,52.43,0.08,82758667.28,100%
write,write,27,1728000,81.96,81.96,0.05,2889.54,100%
write,write,23,1472000000,651.13,230.65,0.04,2461456.14,100%
write,write,16,16000000000,11936.12,683.94,0.03,26754958.03,100%
list,list,27,0,15.63,15.63,0.05,0,100%
delete,delete,30,0,59.97,59.97,0.05,0,100%
read,read,75,4800000,52.36,52.08,0.13,8026.49,100%
read,read,81,5184000000,584.19,50.79,0.14,8668606.4,100%
read,read,42,42000000000,8008.55,60.98,0.07,70231764.82,100%
write,write,54,3456000,63.22,63.09,0.09,5819.59,100%
write,write,57,3648000000,954.51,401.58,0.1,6142903.33,100%
